64,16,500,54.73,1506%,144524
64,16,1000,55.12,1513%,144552
64,16,1500,54.73,1505%,144488
64,16,2000,55.20,1506%,144572
64,16,2500,55.34,1499%,144568
64,16,3000,55.46,1484%,144420
64,16,3500,54.90,1500%,144452
64,16,4000,54.91,1494%,144596
64,16,4500,54.75,1506%,144572
64,16,5000,54.90,1506%,144584
64,32,500,44.48,2842%,150568
64,32,1000,45.13,2868%,150616
64,32,1500,44.83,2853%,150680
64,32,2000,44.85,2884%,150632
64,32,2500,45.27,2855%,150564
64,32,3000,45.64,2859%,150668
64,32,3500,46.74,2840%,150696
64,32,4000,45.18,2839%,150656
64,32,4500,45.99,2863%,150776
64,32,5000,44.52,2819%,150640
64,64,500,47.08,5448%,172296
64,64,1000,46.49,5344%,172232
64,64,1500,45.94,5466%,172164
64,64,2000,46.50,5363%,172336
64,64,2500,47.00,5463%,172716
64,64,3000,46.84,5474%,172572
64,64,3500,47.90,5413%,172384
64,64,4000,47.90,5354%,172372
64,64,4500,22.41,4395%,73472
64,64,5000,21.86,4329%,73472
128,16,500,51.23,1457%,147932
128,16,1000,49.22,1474%,147608
128,16,1500,47.79,1491%,147700
128,16,2000,47.77,1486%,147572
128,16,2500,49.09,1490%,147904
128,16,3000,48.51,1489%,147812
128,16,3500,50.51,1486%,147992
128,16,4000,48.72,1486%,147972
128,16,4500,49.58,1474%,147864
128,16,5000,49.06,1485%,148028
128,32,500,44.69,2857%,151732
128,32,1000,42.42,2848%,151528
128,32,1500,42.57,2830%,151424
128,32,2000,42.72,2832%,151436
128,32,2500,44.71,2861%,151356
128,32,3000,41.99,2845%,151500
128,32,3500,42.98,2836%,151560
128,32,4000,43.13,2840%,151592
128,32,4500,42.82,2826%,151368
128,32,5000,42.14,2833%,151268
128,64,500,50.50,5491%,172552
128,64,1000,45.44,5372%,172412
128,64,1500,45.42,5492%,172704
128,64,2000,46.79,5410%,172320
128,64,2500,48.16,5174%,172756
128,64,3000,46.89,5187%,172336
128,64,3500,46.89,5459%,172772
128,64,4000,45.80,5414%,172600
128,64,4500,22.42,4363%,73472
128,64,5000,21.75,4494%,73472
256,16,500,119.61,1558%,160464
256,16,1000,115.43,1555%,160540
256,16,1500,116.87,1541%,160728
256,16,2000,118.23,1554%,160700
256,16,2500,118.06,1541%,160520
256,16,3000,126.19,1555%,160928
256,16,3500,119.58,1548%,160784
256,16,4000,116.56,1553%,160628
256,16,4500,117.89,1550%,160536
256,16,5000,115.41,1557%,160644
256,32,500,85.62,3029%,176368
256,32,1000,88.66,3043%,178068
256,32,1500,89.10,3025%,177188
256,32,2000,89.90,3040%,178220
256,32,2500,89.56,3013%,178416
256,32,3000,89.00,3039%,176108
256,32,3500,88.35,3008%,175936
256,32,4000,92.05,3027%,178312
256,32,4500,87.97,3030%,177900
256,32,5000,93.28,3037%,173640
256,64,500,80.93,5821%,186476
256,64,1000,80.28,5838%,185580
256,64,1500,80.62,5846%,185096
256,64,2000,79.55,5884%,185976
256,64,2500,80.92,5821%,186640
256,64,3000,80.48,5871%,184900
256,64,3500,82.86,5904%,185792
256,64,4000,80.78,5855%,184692
256,64,4500,21.82,4422%,73472
256,64,5000,21.89,4405%,73472
512,16,500,915.51,1597%,279392
512,16,1000,905.12,1595%,275304
512,16,1500,928.78,1596%,275180
512,16,2000,1022.73,1600%,275272
512,16,2500,964.57,1596%,275140
512,16,3000,928.67,1597%,275156
512,16,3500,904.61,1599%,275256
512,16,4000,839.86,1594%,275184
512,16,4500,1011.40,1596%,275228
512,16,5000,928.17,1594%,275256
512,32,500,544.86,3171%,215384
512,32,1000,493.14,3168%,215368
512,32,1500,549.32,3172%,215416
512,32,2000,539.92,3172%,216044
512,32,2500,551.99,3176%,215328
512,32,3000,541.08,3172%,215448
512,32,3500,544.10,3164%,215396
512,32,4000,544.70,3164%,215552
512,32,4500,491.41,3169%,215556
512,32,5000,541.15,3173%,215480
512,64,500,388.43,6287%,202544
512,64,1000,391.56,6275%,202424
512,64,1500,389.55,6275%,202560
512,64,2000,393.12,6285%,202412
512,64,2500,390.46,6275%,202612
512,64,3000,392.67,6270%,202540
512,64,3500,392.92,6287%,202576
512,64,4000,389.29,6273%,202600
512,64,4500,21.69,4548%,73472
512,64,5000,21.61,4497%,73472
