64,1,420.83
64,2,214.85
64,3,154.80
64,4,120.49
64,5,100.77
64,6,90.95
64,7,81.89
64,8,76.17
64,9,71.61
64,10,68.30
64,11,63.81
64,12,61.69
64,13,60.23
64,14,57.24
64,15,57.20
64,16,54.91
64,17,53.51
64,18,52.67
64,19,51.90
64,20,51.33
64,21,50.16
64,22,49.14
64,23,48.24
64,24,48.44
64,25,47.48
64,26,47.09
64,27,47.25
64,28,46.72
64,29,46.02
64,30,46.18
64,31,45.05
64,32,44.86
64,33,45.24
64,34,46.84
64,35,44.70
64,36,45.06
64,37,44.88
64,38,44.61
64,39,44.75
64,40,46.12
64,41,46.09
64,42,44.85
64,43,45.99
64,44,45.44
64,45,44.89
64,46,45.81
64,47,44.38
64,48,45.51
64,49,46.37
64,50,44.55
64,51,45.49
64,52,45.72
64,53,46.81
64,54,45.87
64,55,45.93
64,56,45.66
64,57,45.58
64,58,46.03
64,59,45.48
64,60,46.38
64,61,48.11
64,62,49.28
64,63,47.84
64,64,47.77
64,65,47.85
64,66,49.34
64,67,49.84
64,68,50.70
64,69,48.97
64,70,49.43
64,71,49.46
64,72,49.82
64,73,50.23
64,74,51.57
64,75,52.08
64,76,51.87
64,77,52.57
64,78,52.32
64,79,52.77
64,80,53.84
64,81,54.22
64,82,51.37
64,83,52.42
64,84,54.41
64,85,53.58
64,86,54.11
64,87,56.47
64,88,54.20
64,89,54.66
64,90,56.67
64,91,57.10
64,92,56.72
64,93,55.76
64,94,54.70
64,95,55.90
64,96,56.74
64,97,57.81
64,98,56.38
64,99,59.05
64,100,58.74
64,101,57.81
64,102,59.04
64,103,59.53
64,104,24.36
64,105,23.59
64,106,24.01
64,107,23.95
64,108,24.31
64,109,23.74
64,110,24.21
64,111,24.62
64,112,24.00
64,113,24.31
64,114,29.53
64,115,24.29
64,116,24.65
64,117,24.30
64,118,24.40
64,119,24.81
64,120,24.76
64,121,24.89
64,122,24.45
64,123,24.59
64,124,24.87
64,125,25.06
64,126,25.06
64,127,25.93
64,128,25.12
128,1,339.69
128,2,168.99
128,3,116.98
128,4,91.07
128,5,79.32
128,6,72.27
128,7,67.91
128,8,63.70
128,9,62.35
128,10,59.30
128,11,57.78
128,12,53.56
128,13,53.23
128,14,52.67
128,15,51.86
128,16,48.57
128,17,48.59
128,18,47.92
128,19,47.19
128,20,46.49
128,21,46.57
128,22,44.67
128,23,46.12
128,24,45.24
128,25,44.40
128,26,43.32
128,27,42.75
128,28,43.82
128,29,42.58
128,30,43.46
128,31,43.34
128,32,42.71
128,33,42.48
128,34,41.84
128,35,42.45
128,36,43.01
128,37,44.75
128,38,43.75
128,39,43.35
128,40,43.51
128,41,43.49
128,42,43.63
128,43,42.88
128,44,43.45
128,45,44.32
128,46,43.39
128,47,43.73
128,48,43.11
128,49,43.46
128,50,44.17
128,51,45.16
128,52,43.69
128,53,44.64
128,54,45.02
128,55,45.34
128,56,44.30
128,57,45.20
128,58,45.83
128,59,45.60
128,60,46.16
128,61,46.44
128,62,47.13
128,63,46.58
128,64,46.04
128,65,46.10
128,66,47.00
128,67,47.87
128,68,48.08
128,69,47.84
128,70,47.87
128,71,48.44
128,72,47.95
128,73,47.97
128,74,48.41
128,75,49.11
128,76,48.21
128,77,49.37
128,78,49.77
128,79,49.37
128,80,50.46
128,81,50.21
128,82,50.29
128,83,49.42
128,84,50.06
128,85,52.37
128,86,50.93
128,87,50.23
128,88,51.50
128,89,50.75
128,90,51.99
128,91,51.77
128,92,52.33
128,93,52.53
128,94,51.40
128,95,53.23
128,96,52.52
128,97,53.11
128,98,53.40
128,99,56.02
128,100,57.23
128,101,56.88
128,102,56.48
128,103,57.25
128,104,23.20
128,105,23.64
128,106,23.36
128,107,22.96
128,108,23.55
128,109,23.53
128,110,23.94
128,111,24.04
128,112,23.63
128,113,23.94
128,114,24.52
128,115,23.84
128,116,23.33
128,117,24.29
128,118,24.46
128,119,24.48
128,120,24.13
128,121,24.57
128,122,24.38
128,123,23.98
128,124,24.04
128,125,24.30
128,126,24.23
128,127,24.92
128,128,24.41
256,1,1244.09
256,2,691.62
256,3,519.82
256,4,423.59
256,5,345.47
256,6,273.75
256,7,248.27
256,8,234.22
256,9,198.96
256,10,184.44
256,11,190.06
256,12,168.72
256,13,167.64
256,14,136.39
256,15,124.26
256,16,114.24
256,17,110.14
256,18,113.57
256,19,102.36
256,20,98.64
256,21,96.03
256,22,93.47
256,23,105.98
256,24,97.16
256,25,105.12
256,26,105.18
256,27,97.23
256,28,89.33
256,29,94.25
256,30,89.63
256,31,91.10
256,32,102.60
256,33,95.19
256,34,93.93
256,35,89.88
256,36,88.59
256,37,88.42
256,38,88.50
256,39,89.76
256,40,87.94
256,41,89.75
